"Total Requirements, Industry-by-Industry - Summary"
"Total Requirements, Industry-by-Industry - Summary"

,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
,Industry Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.3132842,0.0206013,0.0015034,0.0018934,0.0009769,0.0007687,0.0032028,0.0185054,0.0036607,0.0022812,0.0018090,0.0016377,0.0006443,0.0018625,0.0030261,0.0011557,0.0060503,0.0043466,0.3776465,0.0588966,0.0124260,0.0077563,0.0061931,0.0031292,0.0329630,0.0120566,0.0015754,0.0019144,0.0023263,0.0016396,0.0012039,0.0019095,0.0014993,0.0027923,0.0009949,0.0010566,0.0006076,0.0010823,0.0007463,0.0006505,0.0008813,0.0009652,0.0012417,0.0010165,0.0011135,0.0005765,0.0011170,0.0001754,0.0023759,0.0013131,0.0005662,0.0010643,0.0033772,0.0012367,0.0026282,0.0017246,0.0056780,0.0027097,0.0044779,0.0073315,0.0229133,0.0025904,0.0108613,0.0075229,0.0294263,0.0017757,0.0028586,0.0007694,0.0031104,0.0160705,0.0020490
113FF,"Forestry, fishing, and related activities",0.0666451,1.1334592,0.0004430,0.0020773,0.0005396,0.0003661,0.0044315,0.1283432,0.0014494,0.0021467,0.0011328,0.0013290,0.0004808,0.0018715,0.0024337,0.0007022,0.0147735,0.0036526,0.0271566,0.0041142,0.0093804,0.0275081,0.0040295,0.0005766,0.0027764,0.0085740,0.0009503,0.0004991,0.0024771,0.0005266,0.0006038,0.0004780,0.0054511,0.0005610,0.0005431,0.0007126,0.0003068,0.0005416,0.0004387,0.0002829,0.0003244,0.0005486,0.0006797,0.0003710,0.0004337,0.0002702,0.0004054,0.0001546,0.0013309,0.0007173,0.0002227,0.0003552,0.0007605,0.0004230,0.0007271,0.0006659,0.0009028,0.0006675,0.0009461,0.0010602,0.0025855,0.0004872,0.0026136,0.0028270,0.0067956,0.0010234,0.0005857,0.0005031,0.0007527,0.0035218,0.0014192
211,Oil and gas extraction,0.0170559,0.0047734,1.0671647,0.0192365,0.0074850,0.0503402,0.0172661,0.0116515,0.0119935,0.0163231,0.0098184,0.0075035,0.0023889,0.0095579,0.0087704,0.0047944,0.0100117,0.0092996,0.0118998,0.0173193,0.0049410,0.0143699,0.0118311,0.5698299,0.0293509,0.0203938,0.0050953,0.0052142,0.0053773,0.0048032,0.0048794,0.0814947,0.0290494,0.0515104,0.0309530,0.0185106,0.0059201,0.0283937,0.0162697,0.0028057,0.0025458,0.0034082,0.0039120,0.0040054,0.0060726,0.0013158,0.0070799,0.0007544,0.0076297,0.0057666,0.0014776,0.0030914,0.0038946,0.0032857,0.0063242,0.0141090,0.0096233,0.0046616,0.0052990,0.0058570,0.0063098,0.0038510,0.0078737,0.0056000,0.0067122,0.0053160,0.0147928,0.0048840,0.0234216,0.0263400,0.0689797
212,"Mining, except oil and gas",0.0057293,0.0006460,0.0054790,1.0793157,0.0026533,0.0123991,0.0160326,0.0036097,0.0874565,0.0845083,0.0230308,0.0140282,0.0026016,0.0164274,0.0144194,0.0058489,0.0084871,0.0069633,0.0050987,0.0059253,0.0015112,0.0110375,0.0035503,0.0081098,0.0107403,0.0076669,0.0011654,0.0012247,0.0013566,0.0013206,0.0012259,0.0022497,0.0035393,0.0024340,0.0017998,0.0015114,0.0016536,0.0015097,0.0014490,0.0006525,0.0008131,0.0020609,0.0032345,0.0007688,0.0014462,0.0004811,0.0013042,0.0004771,0.0021568,0.0014286,0.0004456,0.0008553,0.0020739,0.0009939,0.0023093,0.0034808,0.0028533,0.0014257,0.0017694,0.0015453,0.0027446,0.0027682,0.0050660,0.0020803,0.0024331,0.0034424,0.0022412,0.0079034,0.0019220,0.0027313,0.0190866
213,Support activities for mining,0.0009182,0.0002392,0.0505029,0.0206405,1.0137731,0.0026089,0.0011466,0.0006379,0.0021807,0.0023413,0.0009513,0.0006586,0.0001754,0.0008074,0.0007208,0.0003688,0.0006733,0.0005891,0.0006733,0.0009415,0.0002677,0.0009079,0.0006387,0.0270655,0.0015937,0.0011297,0.0002676,0.0002740,0.0002829,0.0002550,0.0002581,0.0038973,0.0014455,0.0024951,0.0015028,0.0009095,0.0003262,0.0013740,0.0008022,0.0001483,0.0001379,0.0002107,0.0002510,0.0002066,0.0003184,0.0000734,0.0003629,0.0000456,0.0004063,0.0003055,0.0000798,0.0001673,0.0002505,0.0001848,0.0003469,0.0007510,0.0005117,0.0002497,0.0002885,0.0003089,0.0003590,0.0002360,0.0004709,0.0003101,0.0003684,0.0003223,0.0007539,0.0003808,0.0011479,0.0013006,0.0036300
22,Utilities,0.0263042,0.0028302,0.0271668,0.0329833,0.0050414,1.0494616,0.0127412,0.0199228,0.0334707,0.0344060,0.0217796,0.0151988,0.0067225,0.0157183,0.0175031,0.0210279,0.0185783,0.0114373,0.0228530,0.0264049,0.0099405,0.0376666,0.0221103,0.0241217,0.0217320,0.0270670,0.0105557,0.0168464,0.0325760,0.0306952,0.0173266,0.0093973,0.0060279,0.0108096,0.0163729,0.0093574,0.0244369,0.0088058,0.0163470,0.0042754,0.0055819,0.0123428,0.0124437,0.0062095,0.0074012,0.0029892,0.0151385,0.0009990,0.0246819,0.0081044,0.0037336,0.0043577,0.0063269,0.0103637,0.0074454,0.0194428,0.0169074,0.0075908,0.0128416,0.0167395,0.0117149,0.0097698,0.0205061,0.0236513,0.0230404,0.0125965,0.0105753,0.0061405,0.0341902,0.0160776,0.0184882
23,Construction,0.0102459,0.0017861,0.0066275,0.0350866,0.0126712,0.0153229,1.0057953,0.0095377,0.0173351,0.0177621,0.0120748,0.0088052,0.0038136,0.0081500,0.0093661,0.0074160,0.0096334,0.0070668,0.0107865,0.0098945,0.0053768,0.0153176,0.0110677,0.0168050,0.0082207,0.0113483,0.0075747,0.0113155,0.0122907,0.0166958,0.0114453,0.0071258,0.0369612,0.0079067,0.0097878,0.0102103,0.0220620,0.0102589,0.0113980,0.0030660,0.0044362,0.0090229,0.0067150,0.0099096,0.0100939,0.0039920,0.0087264,0.0238850,0.0397184,0.0087262,0.0037624,0.0030447,0.0058623,0.0069536,0.0055153,0.0094029,0.0090529,0.0052463,0.0088251,0.0108078,0.0099174,0.0076387,0.0125835,0.0226025,0.0113004,0.0118923,0.0207000,0.0060741,0.0143176,0.0223294,0.1735635
321,Wood products,0.0044600,0.0020938,0.0020972,0.0075954,0.0035755,0.0020718,0.0391399,1.2604073,0.0061337,0.0131017,0.0060177,0.0074982,0.0029242,0.0124401,0.0141400,0.0037712,0.1250681,0.0142526,0.0051558,0.0048430,0.0021741,0.0412381,0.0065976,0.0023475,0.0029080,0.0139142,0.0058429,0.0024731,0.0050344,0.0027120,0.0034174,0.0013359,0.0520136,0.0020987,0.0031111,0.0023119,0.0017417,0.0022820,0.0025681,0.0011015,0.0015969,0.0031931,0.0042390,0.0014525,0.0017741,0.0008510,0.0015317,0.0011979,0.0086471,0.0037857,0.0008862,0.0010639,0.0019807,0.0015072,0.0028949,0.0027931,0.0022335,0.0020394,0.0030374,0.0021598,0.0062693,0.0017263,0.0040220,0.0067345,0.0035617,0.0054849,0.0022326,0.0019553,0.0024097,0.0039886,0.0101455
327,Nonmetallic mineral products,0.0019792,0.0004348,0.0074987,0.0083773,0.0055579,0.0017769,0.0446955,0.0089125,1.1212917,0.0171238,0.0088770,0.0087136,0.0020425,0.0166248,0.0195496,0.0036275,0.0075562,0.0069559,0.0048034,0.0031833,0.0016009,0.0053727,0.0023755,0.0068037,0.0036118,0.0104550,0.0012751,0.0020497,0.0014660,0.0014222,0.0017578,0.0018216,0.0032015,0.0021085,0.0020870,0.0015501,0.0017102,0.0014628,0.0017577,0.0006463,0.0006555,0.0044470,0.0023533,0.0009806,0.0013646,0.0006341,0.0012119,0.0011943,0.0028804,0.0031376,0.0005110,0.0010711,0.0032296,0.0010811,0.0020557,0.0042661,0.0014374,0.0026487,0.0040395,0.0017483,0.0040483,0.0010381,0.0022567,0.0021831,0.0035032,0.0033699,0.0024065,0.0024925,0.0020389,0.0028020,0.0181630
